Scenario,Setpoint_g,TrialNo,FinalMass_g,FinalError_g,AbsError_pct,MaxOvershoot_pct,Duration_s,RiseTime_10_90_s,SettlingTime_s,BridgingCount,WithinTolerance,StopReason,LogPath
GS PID,20.0,5,21.22,1.2199999999999989,6.099999999999994,0.0,20.789,17.043,,1,False,TARGET,data/pengujian_final/log_160_trial/gs_pid/SP20/GS_PID_SP20_trial05.txt
GS PID,20.0,6,19.59,-0.41000000000000014,2.0500000000000007,0.0,18.983,16.27,17.262,1,True,TARGET,data/pengujian_final/log_160_trial/gs_pid/SP20/GS_PID_SP20_trial06.txt
GS PID,20.0,7,19.87,-0.129999999999999,0.649999999999995,0.0,20.791,8.264,17.004,0,True,TARGET,data/pengujian_final/log_160_trial/gs_pid/SP20/GS_PID_SP20_trial07.txt
GS PID,20.0,8,20.92,0.9200000000000017,4.6000000000000085,0.0,12.009,,,1,True,TARGET,data/pengujian_final/log_160_trial/gs_pid/SP20/GS_PID_SP20_trial08.txt
GS PID,20.0,9,19.46,-0.5399999999999991,2.6999999999999957,0.0,14.593,11.621,12.872,0,True,TARGET,data/pengujian_final/log_160_trial/gs_pid/SP20/GS_PID_SP20_trial09.txt
GS PID,20.0,10,19.78,-0.21999999999999886,1.0999999999999943,0.0,25.182,18.337,23.461,1,True,TARGET,data/pengujian_final/log_160_trial/gs_pid/SP20/GS_PID_SP20_trial10.txt
GS PID,25.0,1,25.84,0.8399999999999999,3.359999999999999,0.0,15.109,12.654,,1,True,TARGET,data/pengujian_final/log_160_trial/gs_pid/SP25/GS_PID_SP25_trial01.txt
GS PID,25.0,2,25.5,0.5,2.0,0.0,18.467,11.622,15.196,1,True,TARGET,data/pengujian_final/log_160_trial/gs_pid/SP25/GS_PID_SP25_trial02.txt
GS PID,25.0,3,26.84,1.8399999999999999,7.359999999999999,0.0,10.461,6.198,8.74,0,False,TARGET,data/pengujian_final/log_160_trial/gs_pid/SP25/GS_PID_SP25_trial03.txt
GS PID,25.0,4,25.02,0.019999999999999574,0.0799999999999983,0.0,39.389,24.795,31.727,1,True,TARGET,data/pengujian_final/log_160_trial/gs_pid/SP25/GS_PID_SP25_trial04.txt
GS PID,25.0,5,24.14,-0.8599999999999994,3.4399999999999977,0.0,12.787,10.072,11.066,0,True,TARGET,data/pengujian_final/log_160_trial/gs_pid/SP25/GS_PID_SP25_trial05.txt
GS PID,25.0,6,24.58,-0.4200000000000017,1.6800000000000068,0.0,16.66,12.139,14.94,1,True,TARGET,data/pengujian_final/log_160_trial/gs_pid/SP25/GS_PID_SP25_trial06.txt
GS PID,25.0,7,25.88,0.879999999999999,3.519999999999996,0.0,32.931,20.404,29.403,0,True,TARGET,data/pengujian_final/log_160_trial/gs_pid/SP25/GS_PID_SP25_trial07.txt
GS PID,25.0,8,25.45,0.4499999999999993,1.7999999999999972,0.0,26.734,22.471,23.721,0,True,TARGET,data/pengujian_final/log_160_trial/gs_pid/SP25/GS_PID_SP25_trial08.txt
GS PID,25.0,9,24.54,-0.46000000000000085,1.8400000000000034,0.0,54.889,16.53,43.869,0,True,TARGET,data/pengujian_final/log_160_trial/gs_pid/SP25/GS_PID_SP25_trial09.txt
GS PID,25.0,10,25.29,0.28999999999999915,1.1599999999999966,0.0,20.794,13.431,19.073,0,True,TARGET,data/pengujian_final/log_160_trial/gs_pid/SP25/GS_PID_SP25_trial10.txt
GS PID,30.0,1,29.67,-0.3299999999999983,1.0999999999999943,0.0,31.108,14.715,19.578,0,True,TARGET,data/pengujian_final/log_160_trial/gs_pid/SP30/GS_PID_SP30_trial01.txt
GS PID,30.0,2,30.83,0.8299999999999983,2.766666666666661,0.0,27.492,25.039,,2,True,TARGET,data/pengujian_final/log_160_trial/gs_pid/SP30/GS_PID_SP30_trial02.txt
GS PID,30.0,3,29.88,-0.120000000000001,0.4000000000000033,0.0,18.459,8.519,14.932,0,True,TARGET,data/pengujian_final/log_160_trial/gs_pid/SP30/GS_PID_SP30_trial03.txt
GS PID,30.0,4,29.56,-0.4400000000000013,1.466666666666671,0.0,25.687,20.136,22.934,1,True,TARGET,data/pengujian_final/log_160_trial/gs_pid/SP30/GS_PID_SP30_trial04.txt
GS PID,30.0,5,29.73,-0.2699999999999996,0.8999999999999986,0.0,35.497,12.649,33.519,1,True,TARGET,data/pengujian_final/log_160_trial/gs_pid/SP30/GS_PID_SP30_trial05.txt
GS PID,30.0,6,30.65,0.6499999999999986,2.166666666666662,0.0,34.98,18.586,25.257,2,True,TARGET,data/pengujian_final/log_160_trial/gs_pid/SP30/GS_PID_SP30_trial06.txt
GS PID,30.0,7,29.88,-0.120000000000001,0.4000000000000033,0.0,20.523,12.907,14.931,0,True,TARGET,data/pengujian_final/log_160_trial/gs_pid/SP30/GS_PID_SP30_trial07.txt
GS PID,30.0,8,29.86,-0.14000000000000057,0.4666666666666685,0.0,24.402,,,2,True,TARGET,data/pengujian_final/log_160_trial/gs_pid/SP30/GS_PID_SP30_trial08.txt
