Scenario,Setpoint_g,TrialNo,LogPath,Column,LogValue,DatasetValue,AbsoluteDifference,Tolerance,Status,Notes
Fixed PID,20.0,1,data/pengujian_final/log_160_trial/fixed_pid/SP20/Fixed PID_SP20_trial01.txt,Duration_s,22.941,24.66,1.7190000000000012,0.01,MISMATCH,Outside tolerance
Fixed PID,20.0,1,data/pengujian_final/log_160_trial/fixed_pid/SP20/Fixed PID_SP20_trial01.txt,RiseTime_10_90_s,16.526,16.526,0.0,0.01,MATCH,Within tolerance
Fixed PID,20.0,1,data/pengujian_final/log_160_trial/fixed_pid/SP20/Fixed PID_SP20_trial01.txt,SettlingTime_s,21.65,21.65,0.0,0.01,MATCH,Within tolerance
Fixed PID,20.0,1,data/pengujian_final/log_160_trial/fixed_pid/SP20/Fixed PID_SP20_trial01.txt,BridgingCount,0,0,,EXACT,MATCH,Exact match
Fixed PID,20.0,1,data/pengujian_final/log_160_trial/fixed_pid/SP20/Fixed PID_SP20_trial01.txt,WithinTolerance,True,1,,EXACT,MATCH,Exact match
Fixed PID,20.0,1,data/pengujian_final/log_160_trial/fixed_pid/SP20/Fixed PID_SP20_trial01.txt,StopReason,TARGET,TARGET,,EXACT,MATCH,Exact match
Fixed PID,20.0,2,data/pengujian_final/log_160_trial/fixed_pid/SP20/Fixed PID_SP20_trial02.txt,FinalMass_g,19.82,19.82,0.0,0.01,MATCH,Within tolerance
Fixed PID,20.0,2,data/pengujian_final/log_160_trial/fixed_pid/SP20/Fixed PID_SP20_trial02.txt,FinalError_g,-0.17999999999999972,-0.18,2.7755575615628914e-16,0.01,MATCH,Within tolerance
Fixed PID,20.0,2,data/pengujian_final/log_160_trial/fixed_pid/SP20/Fixed PID_SP20_trial02.txt,AbsError_pct,0.8999999999999986,0.89,0.009999999999998566,0.01,MATCH,Within tolerance
Fixed PID,20.0,2,data/pengujian_final/log_160_trial/fixed_pid/SP20/Fixed PID_SP20_trial02.txt,MaxOvershoot_pct,0.0,0.0,0.0,0.01,MATCH,Within tolerance
Fixed PID,20.0,2,data/pengujian_final/log_160_trial/fixed_pid/SP20/Fixed PID_SP20_trial02.txt,Duration_s,56.153,56.15,0.0030000000000001137,0.01,MATCH,Within tolerance
Fixed PID,20.0,2,data/pengujian_final/log_160_trial/fixed_pid/SP20/Fixed PID_SP20_trial02.txt,RiseTime_10_90_s,49.826,49.826,0.0,0.01,MATCH,Within tolerance
Fixed PID,20.0,2,data/pengujian_final/log_160_trial/fixed_pid/SP20/Fixed PID_SP20_trial02.txt,SettlingTime_s,54.433,54.433,0.0,0.01,MATCH,Within tolerance
Fixed PID,20.0,2,data/pengujian_final/log_160_trial/fixed_pid/SP20/Fixed PID_SP20_trial02.txt,BridgingCount,5,5,,EXACT,MATCH,Exact match
Fixed PID,20.0,2,data/pengujian_final/log_160_trial/fixed_pid/SP20/Fixed PID_SP20_trial02.txt,WithinTolerance,True,1,,EXACT,MATCH,Exact match
Fixed PID,20.0,2,data/pengujian_final/log_160_trial/fixed_pid/SP20/Fixed PID_SP20_trial02.txt,StopReason,TARGET,TARGET,,EXACT,MATCH,Exact match
Fixed PID,20.0,3,data/pengujian_final/log_160_trial/fixed_pid/SP20/Fixed PID_SP20_trial03.txt,FinalMass_g,21.87,21.87,0.0,0.01,MATCH,Within tolerance
Fixed PID,20.0,3,data/pengujian_final/log_160_trial/fixed_pid/SP20/Fixed PID_SP20_trial03.txt,FinalError_g,1.870000000000001,1.87,8.881784197001252e-16,0.01,MATCH,Within tolerance
Fixed PID,20.0,3,data/pengujian_final/log_160_trial/fixed_pid/SP20/Fixed PID_SP20_trial03.txt,AbsError_pct,9.350000000000005,9.37,0.019999999999994245,0.01,MISMATCH,Outside tolerance
