======== PARAMETER AKTIF ========
Setpoint    : 25.0g
- Zona 1 Besar (eNorm >50%) -
  Kp1=1.65  Ki1=3.088  Kd1=0.279
- Zona 2 Sedang (15-50%) -
  Kp2=2.30  Ki2=0.753  Kd2=0.563
- Zona 3 Kecil (<=15%) -
  Kp3=2.50  Ki3=0.181  Kd3=0.030
- Sistem -
  SUDUT_MIN : 20deg
  SUDUT_BUKA: 40deg
  EARLY_STOP: SP - 0.40g
  STOP saat : 24.60g
  HAMMER_TH : error > 3.0g
=================================
RESET. Servo tutup. Tare selesai. Siap.
=== TRIAL START ===
Controller: Gain Scheduling PID
TrialNo: 4
Setpoint_g: 25.00
EarlyStop_g: 0.40
StopTarget_g: 24.60
Z1_Rule: eNorm_gt_50
Z1_Kp: 1.650
Z1_Ki: 3.088
Z1_Kd: 0.279
Z1_IntMax: 15.00
Z2_Rule: 15_lt_eNorm_le_50
Z2_Kp: 2.300
Z2_Ki: 0.753
Z2_Kd: 0.563
Z2_IntMax: 30.00
Z3_Rule: eNorm_le_15_or_abs_error_le_2g
Z3_Kp: 2.500
Z3_Ki: 0.181
Z3_Kd: 0.030
Z3_IntMax: 30.00
ServoMin_deg: 20
ServoMax_deg: 40
HammerThreshold_g: 3.00
Sampling_ms: 100
DataFormat: DATA,ms,mass_g,error_g,error_pct,output,servo_deg,zone,I,D,flow_gps,bridging_count
=== DATA START ===
DATA,19072,19.00,6.00,24.0,36.6,27,Z2,30.000,0.400,0.00,1
DATA,19330,18.97,6.03,24.1,36.7,27,Z2,30.000,0.370,0.00,1
DATA,19588,19.31,5.69,22.8,33.8,26,Z2,30.000,-3.396,3.40,1
DATA,19846,20.93,4.07,16.3,22.8,24,Z2,30.000,-16.271,16.27,1
>> GANTI ZONA: 2 -> 3 @21.27g
DATA,20105,21.27,3.73,14.9,9.3,21,Z3,0.373,-3.381,3.38,1
DATA,20363,21.42,3.58,14.3,9.0,21,Z3,0.731,-1.450,1.45,1
DATA,20621,21.57,3.43,13.7,8.7,21,Z3,1.074,-1.573,1.57,1
DATA,20879,21.39,3.61,14.4,9.3,21,Z3,1.435,1.846,0.00,1
DATA,21138,21.46,3.54,14.2,9.1,21,Z3,1.789,-0.736,0.74,1
DATA,21396,22.01,2.99,12.0,7.7,21,Z3,2.088,-5.450,5.45,1
DATA,21654,22.14,2.86,11.4,7.5,21,Z3,2.374,-1.332,1.33,1
DATA,21912,22.33,2.67,10.7,7.1,21,Z3,2.641,-1.887,1.89,1
DATA,22171,22.28,2.72,10.9,7.3,21,Z3,2.913,0.488,0.00,1
DATA,22429,22.10,2.90,11.6,7.9,21,Z3,3.203,1.787,0.00,1
DATA,22687,22.03,2.97,11.9,8.1,21,Z3,3.501,0.751,0.00,1
DATA,22946,22.02,2.98,11.9,8.1,21,Z3,3.799,0.089,0.00,1
DATA,23204,22.28,2.72,10.9,7.5,21,Z3,4.071,-2.579,2.58,1
DATA,23462,22.34,2.66,10.7,7.4,21,Z3,4.338,-0.618,0.62,1
DATA,23721,22.21,2.79,11.2,7.9,21,Z3,4.617,1.276,0.00,1
DATA,23979,22.15,2.85,11.4,8.0,21,Z3,4.902,0.584,0.00,1
DATA,24237,22.10,2.90,11.6,8.2,21,Z3,5.192,0.544,0.00,1
DATA,24495,22.30,2.70,10.8,7.7,21,Z3,5.462,-2.061,2.06,1
DATA,24754,22.15,2.85,11.4,8.2,21,Z3,5.747,1.576,0.00,1
DATA,25012,22.07,2.93,11.7,8.4,21,Z3,6.040,0.703,0.00,1
DATA,25270,22.49,2.51,10.0,7.3,21,Z3,6.291,-4.151,4.15,1
DATA,25529,22.67,2.33,9.3,6.9,21,Z3,6.524,-1.809,1.81,1
DATA,25787,22.59,2.41,9.6,7.3,21,Z3,6.764,0.766,0.00,1
DATA,26045,22.50,2.50,10.0,7.5,21,Z3,7.014,0.925,0.00,1
DATA,26303,22.35,2.65,10.6,8.0,21,Z3,7.279,1.524,0.00,1
DATA,26562,22.28,2.72,10.9,8.2,21,Z3,7.551,0.729,0.00,1
DATA,26820,22.42,2.58,10.3,7.8,21,Z3,7.809,-1.476,1.48,1
DATA,27078,22.50,2.50,10.0,7.7,21,Z3,8.059,-0.759,0.76,1
DATA,27337,22.58,2.42,9.7,7.5,21,Z3,8.302,-0.755,0.75,1
DATA,27595,22.47,2.53,10.1,7.9,21,Z3,8.555,1.077,0.00,1
DATA,27853,22.35,2.65,10.6,8.3,21,Z3,8.820,1.206,0.00,1
DATA,28111,22.50,2.50,10.0,7.9,21,Z3,9.070,-1.506,1.51,1
DATA,28370,22.52,2.48,9.9,7.9,21,Z3,9.318,-0.255,0.26,1
DATA,28628,22.39,2.61,10.4,8.3,21,Z3,9.579,1.354,0.00,1
DATA,28886,22.40,2.60,10.4,8.3,21,Z3,9.839,-0.129,0.13,1
DATA,29145,22.52,2.48,9.9,8.0,21,Z3,10.087,-1.195,1.19,1
DATA,29403,22.55,2.45,9.8,8.0,21,Z3,10.332,-0.337,0.34,1
DATA,29661,22.67,2.33,9.3,7.7,21,Z3,10.565,-1.125,1.12,1
DATA,29919,22.53,2.47,9.9,8.2,21,Z3,10.812,1.339,0.00,1
DATA,30178,22.52,2.48,9.9,8.2,21,Z3,11.060,0.081,0.00,1
DATA,30436,22.61,2.39,9.6,8.0,21,Z3,11.299,-0.840,0.84,1
DATA,30694,22.55,2.45,9.8,8.2,21,Z3,11.543,0.562,0.00,1
DATA,30953,22.56,2.44,9.8,8.2,21,Z3,11.787,-0.092,0.09,1
DATA,31211,22.56,2.44,9.8,8.3,21,Z3,12.032,0.059,0.00,1
DATA,31469,23.49,1.51,6.0,5.7,20,Z3,12.182,-9.382,9.38,1
DATA,31727,24.07,0.93,3.7,4.4,20,Z3,12.275,-5.808,5.81,1
DATA,31986,24.02,0.98,3.9,4.7,20,Z3,12.373,0.544,0.00,1
DATA,32244,24.06,0.94,3.8,4.6,20,Z3,12.467,-0.385,0.38,1
DATA,32502,24.00,1.00,4.0,4.8,20,Z3,12.568,0.629,0.00,1
DATA,32761,24.06,0.94,3.7,4.6,20,Z3,12.661,-0.692,0.69,1
DATA,33019,24.06,0.94,3.8,4.7,20,Z3,12.755,0.037,0.00,1
DATA,33277,24.08,0.92,3.7,4.6,20,Z3,12.847,-0.174,0.17,1
DATA,33536,24.08,0.92,3.7,4.6,20,Z3,12.939,-0.059,0.06,1
DATA,33794,24.11,0.89,3.5,4.6,20,Z3,13.028,-0.285,0.28,1
DATA,34052,24.10,0.90,3.6,4.6,20,Z3,13.117,0.118,0.00,1
DATA,34310,24.14,0.86,3.4,4.5,20,Z3,13.203,-0.403,0.40,1
DATA,34569,24.08,0.92,3.7,4.7,20,Z3,13.296,0.648,0.00,1
