======== PARAMETER AKTIF ========
[SKENARIO 2 - OPEN LOOP PRESISI]
Setpoint   : 25.0g
Sudut      : 20deg (tetap, open loop presisi)
EARLY_STOP : SP - 0.40g
STOP saat  : 24.60g
TIMEOUT    : 120s (diperpanjang)
Mode       : Tidak ada kontrol — servo minimum dari awal
=================================
RESET. Servo tutup. Tare selesai. Siap.
=== TRIAL START ===
Controller: Manual Presisi
TrialNo: 5
Setpoint_g: 25.00
EarlyStop_g: 0.40
StopTarget_g: 24.60
Servo_deg: 20
DtaFormat: DATA,ms,mass_g,error_g,error_pct,mode,servo_deg,zone
DATA,13650,3.44,21.56,86.2%,OPEN_SLOW,20,Z1
DATA,13908,3.55,21.45,85.8%,OPEN_SLOW,20,Z1
DATA,14166,3.48,21.52,86.1%,OPEN_SLOW,20,Z1
DATA,14425,3.27,21.73,86.9%,OPEN_SLOW,20,Z1
DATA,14683,3.33,21.67,86.7%,OPEN_SLOW,20,Z1
DATA,14941,3.36,21.64,86.6%,OPEN_SLOW,20,Z1
DATA,15199,3.32,21.68,86.7%,OPEN_SLOW,20,Z1
BRIDGING #3 @3.31g hammer
DATA,15458,3.31,21.69,86.8%,OPEN_SLOW,20,Z1
DATA,15716,3.31,21.69,86.8%,OPEN_SLOW,20,Z1
DATA,15974,3.38,21.62,86.5%,OPEN_SLOW,20,Z1
DATA,16233,3.33,21.67,86.7%,OPEN_SLOW,20,Z1
DATA,16491,3.53,21.47,85.9%,OPEN_SLOW,20,Z1
DATA,16749,3.83,21.17,84.7%,OPEN_SLOW,20,Z1
DATA,17007,3.81,21.19,84.8%,OPEN_SLOW,20,Z1
DATA,17266,3.79,21.21,84.8%,OPEN_SLOW,20,Z1
DATA,17524,3.78,21.22,84.9%,OPEN_SLOW,20,Z1
DATA,17782,3.76,21.24,85.0%,OPEN_SLOW,20,Z1
DATA,18041,3.75,21.25,85.0%,OPEN_SLOW,20,Z1
DATA,18299,3.75,21.25,85.0%,OPEN_SLOW,20,Z1
BRIDGING #4 @3.78g hammer
DATA,18557,3.78,21.22,84.9%,OPEN_SLOW,20,Z1
DATA,18816,3.80,21.20,84.8%,OPEN_SLOW,20,Z1
DATA,19074,3.75,21.25,85.0%,OPEN_SLOW,20,Z1
DATA,19332,3.76,21.24,85.0%,OPEN_SLOW,20,Z1
DATA,19590,4.35,20.65,82.6%,OPEN_SLOW,20,Z1
DATA,19848,6.62,18.38,73.5%,OPEN_SLOW,20,Z1
DATA,20107,10.60,14.40,57.6%,OPEN_SLOW,20,Z1
DATA,20365,12.89,12.11,48.4%,OPEN_SLOW,20,Z2
DATA,20623,12.87,12.13,48.5%,OPEN_SLOW,20,Z2
DATA,20882,12.90,12.10,48.4%,OPEN_SLOW,20,Z2
DATA,21140,12.89,12.11,48.5%,OPEN_SLOW,20,Z2
DATA,21398,13.29,11.71,46.8%,OPEN_SLOW,20,Z2
DATA,21656,13.33,11.67,46.7%,OPEN_SLOW,20,Z2
DATA,21915,13.37,11.63,46.5%,OPEN_SLOW,20,Z2
DATA,22173,13.37,11.63,46.5%,OPEN_SLOW,20,Z2
DATA,22432,13.32,11.68,46.7%,OPEN_SLOW,20,Z2
DATA,22690,13.35,11.65,46.6%,OPEN_SLOW,20,Z2
DATA,22948,13.40,11.60,46.4%,OPEN_SLOW,20,Z2
DATA,23206,14.45,10.55,42.2%,OPEN_SLOW,20,Z2
DATA,23465,14.97,10.03,40.1%,OPEN_SLOW,20,Z2
DATA,23723,14.91,10.09,40.4%,OPEN_SLOW,20,Z2
DATA,23981,14.96,10.04,40.2%,OPEN_SLOW,20,Z2
DATA,24240,14.93,10.07,40.3%,OPEN_SLOW,20,Z2
DATA,24498,14.95,10.05,40.2%,OPEN_SLOW,20,Z2
DATA,24756,14.91,10.09,40.3%,OPEN_SLOW,20,Z2
DATA,25015,14.92,10.08,40.3%,OPEN_SLOW,20,Z2
DATA,25273,15.22,9.78,39.1%,OPEN_SLOW,20,Z2
DATA,25531,15.33,9.67,38.7%,OPEN_SLOW,20,Z2
DATA,25790,15.28,9.72,38.9%,OPEN_SLOW,20,Z2
DATA,26048,15.34,9.66,38.7%,OPEN_SLOW,20,Z2
DATA,26306,15.32,9.68,38.7%,OPEN_SLOW,20,Z2
DATA,26565,15.32,9.68,38.7%,OPEN_SLOW,20,Z2
DATA,26823,15.29,9.71,38.8%,OPEN_SLOW,20,Z2
