=========================================
 SKENARIO 2 — OPEN LOOP PRESISI
 PET FEEDER - ESP32
=========================================
Mode: Servo tetap 20deg, tidak ada PID
Tujuan: Benchmark presisi tanpa kontrol
Hipotesis: Presisi tapi settling time lama
Timeout: 120 detik (diperpanjang)
-----------------------------------------
PERINTAH:
  s<g> = setpoint | e<g> = early stop (default 0.4g)
  g = mulai | r = reset | x = stop | c = param
=========================================
======== PARAMETER AKTIF ========
[SKENARIO 2 - OPEN LOOP PRESISI]
Setpoint   : 20.0g
Sudut      : 20deg (tetap, open loop presisi)
EARLY_STOP : SP - 0.40g
STOP saat  : 19.60g
TIMEOUT    : 120s (diperpanjang)
Mode       : Tidak ada kontrol — servo minimum dari awal
=================================
STATUS: SIAP
RESET. Servo tutup. Tare selesai. Siap.
=== TRIAL START ===
Controller: Manual Presisi
TrialNo: 1
Setpoint_g: 20.00
EarlyStop_g: 0.40
StopTarget_g: 19.60
Servo_deg: 20
DataFormat: DATA,ms,mass_g,error_g,error_pct,mode,servo_deg,zone
DATA,21652,11.77,8.23,41.2%,OPEN_SLOW,20,Z2
DATA,21911,11.78,8.22,41.1%,OPEN_SLOW,20,Z2
DATA,22169,11.80,8.20,41.0%,OPEN_SLOW,20,Z2
DATA,22427,11.78,8.22,41.1%,OPEN_SLOW,20,Z2
DATA,22686,11.78,8.22,41.1%,OPEN_SLOW,20,Z2
DATA,22944,11.82,8.18,40.9%,OPEN_SLOW,20,Z2
DATA,23202,11.85,8.15,40.7%,OPEN_SLOW,20,Z2
DATA,23460,11.83,8.17,40.8%,OPEN_SLOW,20,Z2
DATA,23719,11.86,8.14,40.7%,OPEN_SLOW,20,Z2
DATA,23977,11.87,8.13,40.6%,OPEN_SLOW,20,Z2
DATA,24235,11.89,8.11,40.6%,OPEN_SLOW,20,Z2
DATA,24493,11.81,8.19,41.0%,OPEN_SLOW,20,Z2
BRIDGING #4 @11.85g hammer
DATA,24752,11.85,8.15,40.8%,OPEN_SLOW,20,Z2
DATA,25010,11.83,8.17,40.9%,OPEN_SLOW,20,Z2
DATA,25268,11.82,8.18,40.9%,OPEN_SLOW,20,Z2
DATA,25526,11.78,8.22,41.1%,OPEN_SLOW,20,Z2
DATA,25784,12.15,7.85,39.3%,OPEN_SLOW,20,Z2
DATA,26043,13.38,6.62,33.1%,OPEN_SLOW,20,Z2
DATA,26301,13.20,6.80,34.0%,OPEN_SLOW,20,Z2
DATA,26559,13.21,6.79,33.9%,OPEN_SLOW,20,Z2
DATA,26818,13.19,6.81,34.1%,OPEN_SLOW,20,Z2
DATA,27076,13.24,6.76,33.8%,OPEN_SLOW,20,Z2
DATA,27334,13.28,6.72,33.6%,OPEN_SLOW,20,Z2
DATA,27592,13.42,6.58,32.9%,OPEN_SLOW,20,Z2
DATA,27851,13.35,6.65,33.2%,OPEN_SLOW,20,Z2
DATA,28109,13.28,6.72,33.6%,OPEN_SLOW,20,Z2
DATA,28367,13.23,6.77,33.8%,OPEN_SLOW,20,Z2
DATA,28625,13.24,6.76,33.8%,OPEN_SLOW,20,Z2
DATA,28884,13.15,6.85,34.3%,OPEN_SLOW,20,Z2
