======== PARAMETER AKTIF (Fixed PID) ========
Setpoint   : 30.0g
Kp         : 2.50
Ki         : 0.150
Kd         : 0.030
IntMax     : 30.0
SUDUT_MIN  : 20deg
SUDUT_BUKA : 40deg
EARLY_STOP : SP - 0.40g
STOP saat  : 29.6g
HAMMER_TH  : error > 3.0g
=================================================
RESET. Servo tutup. Tare selesai. Siap.
=== TRIAL START ===
Controller: Fixed PID
TrialNo: 1
Setpoint_g: 30.00
EarlyStop_g: 0.40
StopTarget_g: 29.60
Kp: 2.500
Ki: 0.150
Kd: 0.030
IntMax: 30.00
ServoMin_deg: 20
ServoMax_deg: 40
HammerThreshold_g: 3.00
Sampling_ms: 100
DataFormat: DATA,ms,mass_g,error_g,error_pct,output,servo_deg,zone,I,D,bridging_count
DATA,38175,28.06,1.94,6.5,9.4,21,Z3,30.000,0.448,1
DATA,38433,28.45,1.55,5.2,8.2,21,Z3,30.000,-3.914,1
DATA,38691,28.46,1.54,5.1,8.4,21,Z3,30.000,-0.059,1
DATA,38950,28.54,1.46,4.9,8.1,21,Z3,30.000,-0.836,1
DATA,39208,28.20,1.80,6.0,9.1,21,Z3,30.000,3.403,1
DATA,39466,28.65,1.35,4.5,7.7,21,Z3,30.000,-4.480,1
DATA,39724,28.35,1.65,5.5,8.7,21,Z3,30.000,3.015,1
DATA,39982,28.20,1.80,6.0,9.0,21,Z3,30.000,1.498,1
DATA,40241,28.30,1.70,5.7,8.7,21,Z3,30.000,-0.977,1
DATA,40499,28.30,1.70,5.7,8.7,21,Z3,30.000,-0.063,1
DATA,40757,28.16,1.84,6.1,9.1,21,Z3,30.000,1.410,1
DATA,41015,28.23,1.77,5.9,8.9,21,Z3,30.000,-0.659,1
DATA,41274,28.12,1.88,6.3,9.2,21,Z3,30.000,1.043,1
DATA,41532,28.19,1.81,6.0,9.0,21,Z3,30.000,-0.699,1
DATA,41790,28.16,1.84,6.1,9.1,21,Z3,30.000,0.307,1
DATA,42048,28.11,1.89,6.3,9.2,21,Z3,30.000,0.536,1
DATA,42306,28.14,1.86,6.2,9.1,21,Z3,30.000,-0.277,1
DATA,42565,28.21,1.79,6.0,9.0,21,Z3,30.000,-0.725,1
DATA,42823,28.15,1.85,6.2,9.1,21,Z3,30.000,0.592,1
DATA,43081,28.21,1.79,6.0,9.0,21,Z3,30.000,-0.614,1
DATA,43339,28.26,1.74,5.8,8.8,21,Z3,30.000,-0.463,1
DATA,43598,28.23,1.77,5.9,8.9,21,Z3,30.000,0.248,1
DATA,43856,28.18,1.82,6.1,9.1,21,Z3,30.000,0.522,1
DATA,44114,28.23,1.77,5.9,8.9,21,Z3,30.000,-0.473,1
DATA,44372,28.23,1.77,5.9,8.9,21,Z3,30.000,-0.026,1
DATA,44630,28.17,1.83,6.1,9.1,21,Z3,30.000,0.588,1
DATA,44889,28.22,1.78,5.9,8.9,21,Z3,30.000,-0.470,1
DATA,45147,28.22,1.78,5.9,8.9,21,Z3,30.000,-0.026,1
DATA,45405,28.17,1.83,6.1,9.1,21,Z3,30.000,0.496,1
DATA,45663,28.15,1.85,6.2,9.1,21,Z3,30.000,0.222,1
DATA,45921,28.17,1.83,6.1,9.1,21,Z3,30.000,-0.251,1
DATA,46180,28.19,1.81,6.0,9.0,21,Z3,30.000,-0.144,1
DATA,46438,28.20,1.80,6.0,9.0,21,Z3,30.000,-0.122,1
DATA,46696,28.20,1.80,6.0,9.0,21,Z3,30.000,0.026,1
DATA,46954,28.20,1.80,6.0,9.0,21,Z3,30.000,-0.044,1
DATA,47212,28.26,1.74,5.8,8.8,21,Z3,30.000,-0.607,1
DATA,47471,28.15,1.85,6.2,9.1,21,Z3,30.000,1.106,1
