No,Scenario,Controller,Setpoint_g,TrialNo,FileName,FinalMass_g,FinalError_g,FinalError_pct,AbsError_g,AbsError_pct,MaxOvershoot_g,MaxOvershoot_pct,Duration_s,TimeTo90_s,RiseTime_10_90_s,SettlingTime_s,BridgingCount,Status,Valid,StopReason,EarlyStop_g,Notes,WithinTolerance
51,GS PID,Gain Scheduling PID,20.0,1,GS_PID_SP20_trial01.txt,20.55,0.55,2.74,0.55,2.74,0.55,2.74,20.54,13.132,12.397,14.94,0,AKURAT,True,TARGET,0.4,,1
52,GS PID,Gain Scheduling PID,20.0,2,GS_PID_SP20_trial02.txt,20.93,0.93,4.65,0.93,4.65,0.93,4.65,9.17,7.446,6.712,7.705,1,AKURAT,True,TARGET,0.4,,1
53,GS PID,Gain Scheduling PID,20.0,3,GS_PID_SP20_trial03.txt,22.1,2.1,10.49,2.1,10.49,2.1,10.49,21.3,19.839,19.105,,1,OVERSHOOT,True,TARGET,0.4,,0
54,GS PID,Gain Scheduling PID,20.0,4,GS_PID_SP20_trial04.txt,20.44,0.44,2.18,0.44,2.18,0.44,2.18,20.52,17.256,16.522,18.547,1,AKURAT,True,TARGET,0.4,,1
55,GS PID,Gain Scheduling PID,20.0,5,GS_PID_SP20_trial05.txt,21.22,1.22,6.09,1.22,6.09,1.22,6.09,20.79,17.777,17.043,,1,OVERSHOOT,True,TARGET,0.4,,0
56,GS PID,Gain Scheduling PID,20.0,6,GS_PID_SP20_trial06.txt,19.59,-0.41,-2.05,0.41,2.05,0.0,0.0,18.98,17.004,16.27,17.262,1,AKURAT,True,TARGET,0.4,,1
57,GS PID,Gain Scheduling PID,20.0,7,GS_PID_SP20_trial07.txt,19.87,-0.13,-0.67,0.13,0.67,0.0,0.0,20.79,8.998,8.264,17.004,0,AKURAT,True,TARGET,0.4,,1
58,GS PID,Gain Scheduling PID,20.0,8,GS_PID_SP20_trial08.txt,20.92,0.92,4.58,0.92,4.58,0.92,4.58,12.01,10.547,9.813,10.547,1,AKURAT,True,TARGET,0.4,,1
59,GS PID,Gain Scheduling PID,20.0,9,GS_PID_SP20_trial09.txt,19.46,-0.54,-2.7,0.54,2.7,0.0,0.0,14.59,12.355,11.621,12.872,0,AKURAT,True,TARGET,0.4,,1
60,GS PID,Gain Scheduling PID,20.0,10,GS_PID_SP20_trial10.txt,19.78,-0.22,-1.11,0.22,1.11,0.0,0.0,25.18,19.071,18.337,23.461,1,AKURAT,True,TARGET,0.4,,1
61,GS PID,Gain Scheduling PID,25.0,1,GS_PID_SP25_trial01.txt,25.84,0.84,3.36,0.84,3.36,0.84,3.36,15.11,13.388,12.654,13.647,1,AKURAT,True,TARGET,0.4,,1
62,GS PID,Gain Scheduling PID,25.0,2,GS_PID_SP25_trial02.txt,25.5,0.5,2.01,0.5,2.01,0.5,2.01,18.47,13.647,11.622,15.196,1,AKURAT,True,TARGET,0.4,,1
63,GS PID,Gain Scheduling PID,25.0,3,GS_PID_SP25_trial03.txt,26.84,1.84,7.37,1.84,7.37,1.84,7.37,10.46,6.932,6.198,,0,OVERSHOOT,True,TARGET,0.4,,0
64,GS PID,Gain Scheduling PID,25.0,4,GS_PID_SP25_trial04.txt,25.02,0.02,0.08,0.02,0.08,0.02,0.08,39.39,25.529,24.795,31.727,1,AKURAT,True,TARGET,0.4,,1
65,GS PID,Gain Scheduling PID,25.0,5,GS_PID_SP25_trial05.txt,24.14,-0.86,-3.44,0.86,3.44,0.0,0.0,12.79,10.807,10.072,11.066,0,AKURAT,True,TARGET,0.4,,1
66,GS PID,Gain Scheduling PID,25.0,6,GS_PID_SP25_trial06.txt,24.58,-0.42,-1.67,0.42,1.67,0.0,0.0,16.66,13.132,12.139,14.94,1,AKURAT,True,TARGET,0.4,,1
67,GS PID,Gain Scheduling PID,25.0,7,GS_PID_SP25_trial07.txt,25.88,0.88,3.52,0.88,3.52,0.88,3.52,32.93,21.138,20.404,29.403,0,AKURAT,True,TARGET,0.4,,1
68,GS PID,Gain Scheduling PID,25.0,8,GS_PID_SP25_trial08.txt,25.45,0.45,1.79,0.45,1.79,0.45,1.79,26.73,23.205,22.471,23.721,0,AKURAT,True,TARGET,0.4,,1
69,GS PID,Gain Scheduling PID,25.0,9,GS_PID_SP25_trial09.txt,24.54,-0.46,-1.86,0.46,1.86,0.0,0.0,54.89,17.264,16.53,43.869,0,AKURAT,True,TARGET,0.4,,1
70,GS PID,Gain Scheduling PID,25.0,10,GS_PID_SP25_trial10.txt,25.29,0.29,1.15,0.29,1.15,0.29,1.15,20.79,14.165,13.431,19.073,0,AKURAT,True,TARGET,0.4,,1
71,GS PID,Gain Scheduling PID,30.0,1,GS_PID_SP30_trial01.txt,29.67,-0.33,-1.11,0.33,1.11,0.0,0.0,31.11,15.448,14.715,19.578,0,AKURAT,True,TARGET,0.4,,1
72,GS PID,Gain Scheduling PID,30.0,2,GS_PID_SP30_trial02.txt,30.83,0.83,2.77,0.83,2.77,0.83,2.77,27.49,25.772,25.039,26.03,2,AKURAT,True,TARGET,0.4,,1
73,GS PID,Gain Scheduling PID,30.0,3,GS_PID_SP30_trial03.txt,29.88,-0.12,-0.39,0.12,0.39,0.0,0.0,18.46,11.06,8.519,14.932,0,AKURAT,True,TARGET,0.4,,1
74,GS PID,Gain Scheduling PID,30.0,4,GS_PID_SP30_trial04.txt,29.56,-0.44,-1.46,0.44,1.46,0.0,0.0,25.69,22.676,20.136,22.934,1,AKURAT,True,TARGET,0.4,,1
75,GS PID,Gain Scheduling PID,30.0,5,GS_PID_SP30_trial05.txt,29.73,-0.27,-0.91,0.27,0.91,0.0,0.0,35.5,13.383,12.649,33.519,1,AKURAT,True,TARGET,0.4,,1
76,GS PID,Gain Scheduling PID,30.0,6,GS_PID_SP30_trial06.txt,30.65,0.65,2.18,0.65,2.18,0.65,2.18,34.98,19.32,18.586,25.257,2,AKURAT,True,TARGET,0.4,,1
77,GS PID,Gain Scheduling PID,30.0,7,GS_PID_SP30_trial07.txt,29.88,-0.12,-0.4,0.12,0.4,0.0,0.0,20.52,13.64,12.907,14.931,0,AKURAT,True,TARGET,0.4,,1
