Scenario,Setpoint_g,TrialNo,Column,RegeneratedValue,CanonicalValue,AbsoluteDifference,Tolerance,Status,Notes
Fixed PID,15.0,4,EarlyStop_g,0.4,0.4,0.0,0.001,MATCH,Within tolerance
Fixed PID,15.0,4,WithinTolerance,1,1,,EXACT,MATCH,Exact match
Fixed PID,15.0,5,Scenario,Fixed PID,Fixed PID,,EXACT,MATCH,Exact match
Fixed PID,15.0,5,Controller,Fixed PID,Fixed PID,,EXACT,MATCH,Exact match
Fixed PID,15.0,5,Setpoint_g,15.0,15.0,,EXACT,MATCH,Exact match
Fixed PID,15.0,5,TrialNo,5,5,,EXACT,MATCH,Exact match
Fixed PID,15.0,5,FileName,Fixed PID_SP15_trial05.txt,Fixed PID_SP15_trial05.txt,,EXACT,MATCH,Exact match
Fixed PID,15.0,5,FinalMass_g,14.44,14.44,0.0,0.005,MATCH,Within tolerance
Fixed PID,15.0,5,FinalError_g,-0.56,-0.56,0.0,0.005,MATCH,Within tolerance
Fixed PID,15.0,5,FinalError_pct,-3.73,-3.73,0.0,0.005,MATCH,Within tolerance
Fixed PID,15.0,5,AbsError_g,0.56,0.56,0.0,0.005,MATCH,Within tolerance
Fixed PID,15.0,5,AbsError_pct,3.73,3.73,0.0,0.005,MATCH,Within tolerance
Fixed PID,15.0,5,MaxOvershoot_g,0.0,0.0,0.0,0.005,MATCH,Within tolerance
Fixed PID,15.0,5,MaxOvershoot_pct,0.0,0.0,0.0,0.005,MATCH,Within tolerance
Fixed PID,15.0,5,Duration_s,15.11,15.11,0.0,0.001,MATCH,Within tolerance
Fixed PID,15.0,5,TimeTo90_s,12.869,12.869,0.0,0.001,MATCH,Within tolerance
Fixed PID,15.0,5,RiseTime_10_90_s,10.328,10.328,0.0,0.001,MATCH,Within tolerance
Fixed PID,15.0,5,SettlingTime_s,13.127,13.127,0.0,0.005,MATCH,Within tolerance
Fixed PID,15.0,5,BridgingCount,0,0,,EXACT,MATCH,Exact match
Fixed PID,15.0,5,Status,AKURAT,AKURAT,,EXACT,MATCH,Exact match
Fixed PID,15.0,5,Valid,True,True,,EXACT,MATCH,Exact match
Fixed PID,15.0,5,StopReason,TARGET,TARGET,,EXACT,MATCH,Exact match
Fixed PID,15.0,5,EarlyStop_g,0.4,0.4,0.0,0.001,MATCH,Within tolerance
Fixed PID,15.0,5,WithinTolerance,1,1,,EXACT,MATCH,Exact match
Fixed PID,15.0,6,Scenario,Fixed PID,Fixed PID,,EXACT,MATCH,Exact match
Fixed PID,15.0,6,Controller,Fixed PID,Fixed PID,,EXACT,MATCH,Exact match
Fixed PID,15.0,6,Setpoint_g,15.0,15.0,,EXACT,MATCH,Exact match
Fixed PID,15.0,6,TrialNo,6,6,,EXACT,MATCH,Exact match
Fixed PID,15.0,6,FileName,Fixed PID_SP15_trial06.txt,Fixed PID_SP15_trial06.txt,,EXACT,MATCH,Exact match
Fixed PID,15.0,6,FinalMass_g,16.82,16.82,0.0,0.005,MATCH,Within tolerance
Fixed PID,15.0,6,FinalError_g,1.82,1.82,0.0,0.005,MATCH,Within tolerance
Fixed PID,15.0,6,FinalError_pct,12.1,12.1,0.0,0.005,MATCH,Within tolerance
Fixed PID,15.0,6,AbsError_g,1.82,1.82,0.0,0.005,MATCH,Within tolerance
Fixed PID,15.0,6,AbsError_pct,12.1,12.1,0.0,0.005,MATCH,Within tolerance
Fixed PID,15.0,6,MaxOvershoot_g,1.93,1.93,0.0,0.005,MATCH,Within tolerance
Fixed PID,15.0,6,MaxOvershoot_pct,12.88,12.88,0.0,0.005,MATCH,Within tolerance
Fixed PID,15.0,6,Duration_s,15.88,15.88,0.0,0.001,MATCH,Within tolerance
Fixed PID,15.0,6,TimeTo90_s,14.159,14.159,0.0,0.001,MATCH,Within tolerance
Fixed PID,15.0,6,RiseTime_10_90_s,11.617,11.617,0.0,0.001,MATCH,Within tolerance
Fixed PID,15.0,6,SettlingTime_s,,,0.0,0.005,MATCH,Both NaN
Fixed PID,15.0,6,BridgingCount,1,1,,EXACT,MATCH,Exact match
Fixed PID,15.0,6,Status,OVERSHOOT,OVERSHOOT,,EXACT,MATCH,Exact match
