======== PARAMETER AKTIF ========
[SKENARIO 2 - OPEN LOOP PRESISI]
Setpoint   : 15.0g
Sudut      : 20deg (tetap, open loop presisi)
EARLY_STOP : SP - 0.40g
STOP saat  : 14.60g
TIMEOUT    : 120s (diperpanjang)
Mode       : Tidak ada kontrol — servo minimum dari awal
=================================
RESET. Servo tutup. Tare selesai. Siap.
=== TRIAL START ===
Controller: Manual Presisi
TrialNo: 4
Setpoint_g: 15.00
EarlyStop_g: 0.40
StopTarget_g: 14.60
Servo_deg: 0
ataFomat: DATA,ms,mass_g,error_g,error_pct,mode,servo_deg,zone
=== DATA START ===
DATA,7451,1.99,13.01,86.8%,OPEN_SLOW,20,Z1
DATA,7709,1.99,13.01,86.7%,OPEN_SLOW,20,Z1
DATA,7967,1.99,13.01,86.7%,OPEN_SLOW,20,Z1
DATA,8226,1.99,13.01,86.7%,OPEN_SLOW,20,Z1
DATA,8484,2.04,12.96,86.4%,OPEN_SLOW,20,Z1
DATA,8742,3.02,11.98,79.8%,OPEN_SLOW,20,Z1
DATA,9001,3.85,11.15,74.3%,OPEN_SLOW,20,Z1
DATA,9259,3.78,11.22,74.8%,OPEN_SLOW,20,Z1
DATA,9517,3.82,11.18,74.6%,OPEN_SLOW,20,Z1
DATA,9776,3.80,11.20,74.7%,OPEN_SLOW,20,Z1
DATA,10034,3.82,11.18,74.5%,OPEN_SLOW,20,Z1
DATA,10292,3.78,11.22,74.8%,OPEN_SLOW,20,Z1
DATA,10551,3.79,11.21,74.7%,OPEN_SLOW,20,Z1
DATA,10809,4.58,10.42,69.4%,OPEN_SLOW,20,Z1
DATA,11067,5.40,9.60,64.0%,OPEN_SLOW,20,Z1
DATA,11326,5.52,9.48,63.2%,OPEN_SLOW,20,Z1
DATA,11584,5.48,9.52,63.5%,OPEN_SLOW,20,Z1
DATA,11842,5.39,9.61,64.0%,OPEN_SLOW,20,Z1
DATA,12101,5.35,9.65,64.3%,OPEN_SLOW,20,Z1
DATA,12359,5.45,9.55,63.7%,OPEN_SLOW,20,Z1
DATA,12617,5.45,9.55,63.6%,OPEN_SLOW,20,Z1
DATA,12876,6.02,8.98,59.8%,OPEN_SLOW,20,Z1
DATA,13134,6.22,8.78,58.6%,OPEN_SLOW,20,Z1
DATA,13392,6.15,8.85,59.0%,OPEN_SLOW,20,Z1
DATA,13650,6.12,8.88,59.2%,OPEN_SLOW,20,Z1
DATA,13909,6.07,8.93,59.5%,OPEN_SLOW,20,Z1
DATA,14167,6.08,8.92,59.5%,OPEN_SLOW,20,Z1
DATA,14426,6.08,8.92,59.5%,OPEN_SLOW,20,Z1
DATA,14684,6.11,8.89,59.3%,OPEN_SLOW,20,Z1
DATA,14942,6.22,8.78,58.5%,OPEN_SLOW,20,Z1
DATA,15200,6.37,8.63,57.5%,OPEN_SLOW,20,Z1
DATA,15459,6.38,8.62,57.5%,OPEN_SLOW,20,Z1
DATA,15717,6.37,8.63,57.5%,OPEN_SLOW,20,Z1
DATA,15975,6.42,8.58,57.2%,OPEN_SLOW,20,Z1
DATA,16234,6.41,8.59,57.3%,OPEN_SLOW,20,Z1
DATA,16492,6.42,8.58,57.2%,OPEN_SLOW,20,Z1
DATA,16750,6.49,8.51,56.7%,OPEN_SLOW,20,Z1
DATA,17009,6.49,8.51,56.7%,OPEN_SLOW,20,Z1
DATA,17267,6.74,8.26,55.1%,OPEN_SLOW,20,Z1
DATA,17525,6.71,8.29,55.2%,OPEN_SLOW,20,Z1
DATA,17784,6.69,8.31,55.4%,OPEN_SLOW,20,Z1
