No,Scenario,Controller,Setpoint_g,TrialNo,FileName,FinalMass_g,FinalError_g,FinalError_pct,AbsError_g,AbsError_pct,MaxOvershoot_g,MaxOvershoot_pct,Duration_s,TimeTo90_s,RiseTime_10_90_s,SettlingTime_s,BridgingCount,Status,Valid,StopReason,EarlyStop_g,Notes
73,Manual Presisi,Manual Presisi,30.0,3,ManualPresisi_SP30_trial03.txt,30.0,0.0,0.01,0.0,0.01,0.0,0.01,51.88,51.363,43.912,51.363,6,AKURAT,TRUE,TARGET,0.4,
74,Manual Presisi,Manual Presisi,30.0,4,ManualPresisi_SP30_trial04.txt,30.46,0.46,1.53,0.46,1.53,0.46,1.53,44.13,29.147,22.472,41.805,4,AKURAT,TRUE,TARGET,0.4,
75,Manual Presisi,Manual Presisi,30.0,5,ManualPresisi_SP30_trial05.txt,32.24,2.24,7.46,2.24,7.46,2.24,7.46,81.58,69.441,65.091,NA,16,OVERSHOOT,TRUE,TARGET,0.4,
76,Manual Presisi,Manual Presisi,30.0,6,ManualPresisi_SP30_trial06.txt,31.33,1.33,4.42,1.33,4.42,1.33,4.42,62.72,56.781,43.39,57.039,7,AKURAT,TRUE,TARGET,0.4,
77,Manual Presisi,Manual Presisi,30.0,7,ManualPresisi_SP30_trial07.txt,37.25,7.25,24.18,7.25,24.18,7.25,24.18,82.09,81.578,75.42,NA,13,OVERSHOOT,TRUE,TARGET,0.4,
78,Manual Presisi,Manual Presisi,30.0,8,ManualPresisi_SP30_trial08.txt,29.96,-0.04,-0.15,0.04,0.15,0.0,0.0,42.06,41.546,34.096,41.546,5,AKURAT,TRUE,TARGET,0.4,
79,Manual Presisi,Manual Presisi,30.0,9,ManualPresisi_SP30_trial09.txt,29.65,-0.35,-1.16,0.35,1.16,0.0,0.0,56.01,53.941,46.491,53.941,8,AKURAT,TRUE,TARGET,0.4,
80,Manual Presisi,Manual Presisi,30.0,10,ManualPresisi_SP30_trial10.txt,31.59,1.59,5.29,1.59,5.29,1.59,5.29,72.8,72.281,55.79,NA,11,OVERSHOOT,TRUE,TARGET,0.4,
81,Fixed PID,Fixed PID,15.0,1,Fixed PID_SP15_trial01.txt,14.89,-0.11,-0.73,0.11,0.73,0.0,0.0,33.18,23.713,21.172,31.718,1,AKURAT,TRUE,TARGET,0.4,
82,Fixed PID,Fixed PID,15.0,2,Fixed PID_SP15_trial02.txt,14.54,-0.46,-3.07,0.46,3.07,0.0,0.0,15.88,13.902,11.102,13.902,1,AKURAT,TRUE,TARGET,0.4,
83,Fixed PID,Fixed PID,15.0,3,Fixed PID_SP15_trial03.txt,14.75,-0.25,-1.7,0.25,1.7,0.0,0.0,26.98,25.261,20.654,25.261,3,AKURAT,TRUE,TARGET,0.4,
84,Fixed PID,Fixed PID,15.0,4,Fixed PID_SP15_trial04.txt,14.84,-0.16,-1.06,0.16,1.06,0.0,0.0,18.72,14.933,12.392,16.999,2,AKURAT,TRUE,TARGET,0.4,
85,Fixed PID,Fixed PID,15.0,5,Fixed PID_SP15_trial05.txt,14.44,-0.56,-3.73,0.56,3.73,0.0,0.0,15.11,12.869,10.328,13.127,0,AKURAT,TRUE,TARGET,0.4,
86,Fixed PID,Fixed PID,15.0,6,Fixed PID_SP15_trial06.txt,16.82,1.82,12.1,1.82,12.1,1.93,12.88,15.88,14.159,11.617,NA,1,OVERSHOOT,TRUE,TARGET,0.4,
87,Fixed PID,Fixed PID,15.0,7,Fixed PID_SP15_trial07.txt,15.34,0.34,2.27,0.34,2.27,0.45,3.03,27.24,23.456,20.914,25.522,0,AKURAT,TRUE,TARGET,0.4,
88,Fixed PID,Fixed PID,15.0,8,Fixed PID_SP15_trial08.txt,14.95,-0.05,-0.36,0.05,0.36,0.0,0.0,24.66,13.644,11.102,23.198,1,AKURAT,TRUE,TARGET,0.4,
89,Fixed PID,Fixed PID,15.0,9,Fixed PID_SP15_trial09.txt,16.04,1.04,6.96,1.04,6.96,1.04,6.96,16.66,11.062,8.52,NA,0,OVERSHOOT,TRUE,TARGET,0.4,
90,Fixed PID,Fixed PID,15.0,10,Fixed PID_SP15_trial10.txt,19.28,4.28,28.51,4.28,28.51,4.28,28.51,15.11,13.644,11.102,NA,1,OVERSHOOT,TRUE,TARGET,0.4,
91,Fixed PID,Fixed PID,20.0,1,Fixed PID_SP20_trial01.txt,20.39,0.39,1.95,0.39,1.95,0.39,1.95,28.79,25.264,24.529,27.329,0,AKURAT,TRUE,TARGET,0.4,
